Restaurant Name,Full Address,City,Michelin Rating,Price Range Text,Cuisine Type,URL,Latitude,Longitude,Review,Award
Akoko,"21 Berners Street, Fitzrovia, London, W1T3LP, GBR",London,1 Star,Spare no expense,African,https://guide.michelin.com/en/greater-london/london/restaurant/akoko,51.5177438,-0.13691,"{'@type': 'Review', 'datePublished': '2025-02-10T02:32', 'name': 'Akoko', 'description': '¡°We aim to prove that West African cuisine deserves its place in fine dining by highlighting its unique flavours and culinary traditions on its own terms,¡± says founder Aji Akokomi. With the help ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Wild Honey St James,"8 Pall Mall, St James¡¯s, London, SW1Y 5NG, GBR",London,1 Star,Special occasion,Modern British,https://guide.michelin.com/en/greater-london/london/restaurant/wild-honey-st-james,51.5074626,-0.1321565,"{'@type': 'Review', 'datePublished': '2025-02-10T02:31', 'name': 'Wild Honey St James', 'description': 'This brasserie de-luxe occupies a Grade-II-listed former banking hall within the Sofitel hotel and, while that means a certain grandeur, the atmosphere is never overly formal. Anthony Demetre¡¯s ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Caract?re,"209 Westbourne Park Road, Notting Hill, London, W11 1EA, GBR",London,1 Star,Spare no expense,European Contemporary,https://guide.michelin.com/en/greater-london/london/restaurant/caractere,51.517865,-0.2008184,"{'@type': 'Review', 'datePublished': '2025-02-10T02:31', 'name': 'Caract?re', 'description': ""'Never judge a book by its cover' certainly rings true here, as within this former pub sits a convivial and really quite stylish restaurant, where sophisticated cooking combines with efficient, ..."", 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Lita,"7-9 Paddington Street, Marylebone, London, W1U 5QH, GBR",London,1 Star,Spare no expense,Mediterranean Cuisine,https://guide.michelin.com/en/greater-london/london/restaurant/lita,51.520828,-0.1526149,"{'@type': 'Review', 'datePublished': '2025-02-10T02:31', 'name': 'Lita', 'description': 'Cooking with fire is all the rage these days and Lita, which opened in 2024, is another expert practitioner, although it also offers so much more. While there¡¯s a strong Mediterranean and southern...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Behind,"20 Sidworth Street, London Fields, London, E8 3SD, GBR",London,1 Star,Spare no expense,Modern British,https://guide.michelin.com/en/greater-london/london/restaurant/behind,51.5392307,-0.0575568,"{'@type': 'Review', 'datePublished': '2025-02-10T02:30', 'name': 'Behind', 'description': 'A beautiful horseshoe-shaped counter allows guests to see ¡®behind¡¯ the scenes at this neighbourhood restaurant with an ersatz-industrial look. Every seat has a view of the talented chefs, who also...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
SO|LA,"64 Dean Street, Soho, London, W1D 4QQ, GBR",London,1 Star,Spare no expense,Californian,https://guide.michelin.com/en/greater-london/london/restaurant/so-la,51.513156,-0.1322751,"{'@type': 'Review', 'datePublished': '2025-02-10T02:30', 'name': 'SO|LA', 'description': 'It¡¯s all in the name: this bright, intimate restaurant in the streets of Soho celebrates the cuisine of LA and wider California, with its d?cor and lush plants evoking The Golden State. First-rate...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Casa Fof?,"158 Sandringham Road, Dalston, London, E8 2HS, GBR",London,1 Star,Special occasion,Modern Cuisine,https://guide.michelin.com/en/greater-london/london/restaurant/casa-fofo,51.5499681,-0.0641532,"{'@type': 'Review', 'datePublished': '2025-02-10T02:29', 'name': 'Casa Fof?', 'description': 'There¡¯s no paper menu handed out at this cosy little spot tucked away in a parade of shops off Dalston High Road; just trust the chefs in the open kitchen who¡¯ll produce an intriguing, enjoyable ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Ormer Mayfair,"7-12 Half Moon Street, Mayfair, London, W1J 7BH, GBR",London,1 Star,Spare no expense,Modern British,https://guide.michelin.com/en/greater-london/london/restaurant/ormer-mayfair,51.5065597,-0.1453868,"{'@type': 'Review', 'datePublished': '2025-02-10T02:28', 'name': 'Ormer Mayfair', 'description': 'Not everywhere is about ¡®a scene¡¯ ? in the basement of the Flemings Mayfair hotel is a restaurant for those who prefer a more discreet, almost secretive environment, away from both hurly and burly...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Dining Room at The Goring,"15 Beeston Place, Belgravia, London, SW1W 0JW, GBR",London,1 Star,Spare no expense,Traditional British,https://guide.michelin.com/en/greater-london/london/restaurant/dining-room-at-the-goring,51.497523,-0.1456983,"{'@type': 'Review', 'datePublished': '2025-02-10T02:25', 'name': 'Dining Room at The Goring', 'description': 'The Goring is a model of British style and understatement and its ground floor dining room the epitome of grace and decorum. It appeals to those who ¡®like things done properly¡¯ and is one of the ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Frog by Adam Handling,"34-35 Southampton Street, Covent Garden, London, WC2E 7HG, GBR",London,1 Star,Spare no expense,Modern Cuisine,https://guide.michelin.com/en/greater-london/london/restaurant/frog-by-adam-handling,51.51085,-0.12217,"{'@type': 'Review', 'datePublished': '2025-02-10T02:24', 'name': 'Frog by Adam Handling', 'description': ""Adam Handling's flagship is a restaurant that keeps up with the times: it¡¯s fun, well-run and offers a friendly, rather uplifting atmosphere. The room's fresh, clean look keeps the focus firmly on..."", 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
